"ID","XCOO","YCOO","ELEV","COUN","ASP","LOWDB","LITO","GENLAN","Ag","Al","Al_XRF","Al2O3","As","Au","B","Ba","Be","Bi","Br_IC","Ca","Ca_XRF","CaO","Cd","Cl_IC","Co","Cr","Cu","EC","F_IC","Fe","Fe_XRF","Fe2O3","Hg","K","K_XRF","K2O","La","Li","LOI","Mg","Mg_XRF","MgO","Mn","Mn_XRF","MnO","Mo","Na","Na_XRF","Na2O","Ni","NO3_IC","P","P_XRF","P2O5","Pb","Pd","pH","PO4_IC","Pt","S","Sb","Sc","Se","Si","Si_XRF","SiO2","SO4_IC","Sr","Te","Th","Ti","Ti_XRF","TiO2","V","Y","Zn"
171,658001,7680000,200,"RUS","E",28,52,"RIDGE",0.018,16000,64900,13.9,2.53,0.402,1.5,42.1,0.17,0.015,0.001,1360,23500,3.29,0.019,0.004142,5.3,32.9,5.7,0.82,0.0005,29700,48100,6.88,0.03,670,8000,0.97,12.1,6.8,6.41,3310,10200,1.7,108,610,0.08,0.6,100,22900,3.09,11.3,0.0005,391,390,0.09,2.14,0.455,5.3,0.002,1.426,159,0.005,2.1,0.227,185,292100,62.5,15.19,5.7,0.008,8,1500,4850,0.81,57.8,3.1,19.9
172,677085,7410000,80,"RUS","NE",9,1,"RIDGE",0.08,26400,68500,14.67,3.4,0.812,1.5,62.9,0.43,0.068,0.001,2680,23000,3.23,0.019,0.002204,10.4,97.7,21.4,1.01,0.0005,38600,49100,7.03,0.03,1070,13800,1.67,11.3,25.2,8.13,8400,18200,3.03,164,460,0.06,0.8,260,22900,3.1,36.5,0.0005,1000,910,0.21,8.73,0.928,5.1,0.002,2.306,122,0.028,4.1,0.119,151,269100,57.58,13.85,11.2,0.021,7,1510,4190,0.7,73.2,2.7,48.1
173,667183,7560000,140,"RUS","SW",27,1,"RIDGE",0.005,4780,60000,12.85,0.21,0.296,1.5,12.1,0.09,0.01,0.001,650,23900,3.35,0.019,0.001,1.9,10.4,2.5,0.45,0.0005,6320,30600,4.38,0.03,260,10800,1.31,2.1,2.7,2.09,780,10500,1.75,42.4,460,0.06,0.3,70,23700,3.2,5.3,0.007023,81,130,0.03,1.14,0.242,5.3,0.002,0.753,39,0.005,0.8,0.026,138,327700,70.13,8.341,3.4,0.0015,1.5,301,1970,0.33,11.5,1.1,7.7
174,779510,7490000,160,"RUS","FLAT",20,1,"RIDGE",0.044,17400,61600,13.19,1.03,0.632,1.5,22.9,0.2,0.019,0.001,1010,19200,2.69,0.034,0.009804,2.1,29.1,7,1.09,0.0005,17100,28800,4.13,0.03,270,14100,1.7,6.4,2.6,10.89,1050,6600,1.1,52.9,380,0.05,0.4,160,22900,3.09,9,0.018853,292,300,0.07,2.85,0.849,5.2,0.002,0.981,203,0.013,1.3,0.227,230,294800,63.09,12.79,34.8,0.009,5,653,2210,0.37,23.2,2,10.3
175,389000,7630000,450,"NOR","W",30,1,"PLAIN",0.023,15700,54100,11.58,0.52,1.689,1.5,49.5,0.36,0.045,0.001,2480,19500,2.73,0.014,0.002274,8.1,69.7,13.7,0.84,0.0005,76400,98800,14.14,0.03,1380,16400,1.98,16.4,8.5,10.82,3850,12600,2.09,127,610,0.08,0.5,130,18100,2.44,20.6,0.002688,865,820,0.19,3.18,0.787,5.4,0.002,0.25,225,0.005,2.2,0.293,170,249200,53.33,3.854,14.2,0.014,15,1010,8810,1.47,146,3.8,21
176,582616,7400000,295,"FIN","FLAT",36,51,"FLAT",0.022,14400,52100,11.16,0.73,0.589,1.5,8.3,0.28,0.046,0.001,440,14100,1.98,0.013,0.003247,2.6,52.3,2.2,0.7,0.0005,23900,30200,4.32,0.03,100,11800,1.43,4.4,2.3,5.83,920,7900,1.32,31.3,230,0.03,0.5,70,20200,2.73,7,0.006259,193,210,0.05,3.62,0.752,5.1,0.002,1.847,162,0.016,1.8,0.096,253,328900,70.37,10.736,1.6,0.007,5,1070,3170,0.53,55.9,1.9,5
177,742736,7690000,30,"RUS","NE",5,4,"RIDGE",0.177,30300,72600,15.55,1.14,0.652,1.5,88.2,0.43,0.109,0.001,2650,19000,2.66,0.013,0.008535,19.9,95.9,15,1.09,0.0005,46700,53100,7.6,0.03,3020,15800,1.91,13.8,30.1,12.26,9470,14800,2.47,472,690,0.09,1,430,21000,2.84,35.1,0.0005,308,480,0.11,3.37,1.084,5,0.002,2.055,244,0.005,6.4,0.261,120,250900,53.7,22.773,9.8,0.017,9,2450,4970,0.83,90.3,4.4,64.7
178,610115,7730000,85,"NOR","N",15,20,"DEEPVAL",0.024,43000,73800,15.79,3.15,0.781,1.5,34.7,0.85,0.134,0.001,3310,21500,3.02,0.023,0.003437,10.5,45.9,49.8,1.01,0.0005,42100,55000,7.87,0.03,1150,12700,1.54,20.7,31,17.53,6890,13400,2.23,240,610,0.08,0.8,280,18100,2.44,24.9,0.002211,652,690,0.16,11.1,1.552,5.3,0.002,3.19,287,0.005,5.4,0.397,143,226700,48.51,9.27,7.8,0.018,17,1570,4190,0.7,58.2,7.8,59
181,583716,7540000,260,"FIN","NW",31,1,"PLAIN",0.021,29700,64100,13.72,1.48,0.248,1.5,50.8,0.33,0.057,0.001,700,13500,1.89,0.028,0.004771,8.1,54.5,11.9,0.74,0.0005,28700,40700,5.82,0.03,1450,12400,1.5,11.6,14.3,7.88,3990,10300,1.72,163,460,0.06,0.5,80,16100,2.18,26.2,0.0005,574,520,0.12,4.91,0.427,5.2,0.002,1.43,198,0.028,3,0.089,197,299000,63.99,12.117,5.5,0.009,11,1190,3650,0.61,47.5,3.4,55.6
182,476860,7500000,200,"FIN","FLAT",25,51,"FLAT",0.028,26500,51000,10.93,4.32,22.205,1.5,24.5,0.29,0.03,0.001,1090,20800,2.92,0.029,0.004237,18.1,413,26,0.69,0.0005,41900,53900,7.71,0.03,100,10200,1.23,5.9,9.3,7.26,11500,27400,4.56,223,850,0.11,0.6,90,14500,1.96,142,0.0005,296,300,0.07,2.85,1.36,5.3,0.002,2.534,116,0.077,3.5,0.046,189,287800,61.58,9.282,4.8,0.013,7,1420,6170,1.03,79,2.2,38.4
183,381498,7550000,197,"FIN","FLAT",14,1,"FLAT",0.02,20900,57600,12.34,1.95,0.737,1.5,24.7,0.33,0.056,0.001,2520,23500,3.29,0.036,0.007636,6.8,40.3,22.6,1.43,0.0005,52200,67000,9.58,0.03,480,13600,1.64,9.4,12.2,15.34,3610,12100,2.01,172,690,0.09,0.9,280,18200,2.46,12.7,0.003549,627,740,0.17,5.67,0.43,4.9,0.002,1.643,344,0.04,4.3,0.159,261,241800,51.74,9.66,6.8,0.019,9,1680,6230,1.04,106,4.3,15.3
184,769055,7520000,340,"RUS","S",7,82,"HIMO",0.111,66600,74900,16.03,2.93,0.329,1.5,135,2.08,0.035,0.001,1310,9900,1.39,0.236,0.009831,5.6,28.3,10.6,1.61,0.00153,17300,33000,4.72,0.13,960,15600,1.88,31.1,8.2,40.32,1890,5400,0.9,705,1310,0.17,0.7,1390,15000,2.03,16,0.010568,560,820,0.19,8.62,1.47,5,0.002,3.386,672,0.045,1.2,0.452,223,144900,31.02,17.987,251,0.012,13,1420,4550,0.76,22.7,9.2,103
185,614000,7640000,190,"RUS","FLAT",14,31,"RIDGE",0.011,9900,66300,14.2,0.39,1.063,1.5,58,0.13,0.009,0.001,2350,24000,3.36,0.033,0.003287,5.6,28.7,8.5,0.66,0.0005,16100,39300,5.63,0.03,1010,11700,1.42,12.7,3.6,4.33,2900,13300,2.22,84.5,540,0.07,0.4,200,20500,2.77,13.5,0.0005,761,650,0.15,2.22,0.333,5.2,0.002,0.776,79,0.005,2,0.071,145,304600,65.18,7.73,9.1,0.008,5,859,3710,0.62,42.8,5,19.6
186,452370,7440000,210,"FIN","NE",25,7,"PLAIN",0.006,14000,60600,12.98,1.1,0.801,1.5,19.2,0.32,0.019,0.001,680,14000,1.96,0.023,0.00298,3.7,27,3.6,0.6,0.0005,13700,21200,3.04,0.03,440,19400,2.34,11.2,4.4,3.93,1550,5500,0.92,50.3,230,0.03,0.5,90,24500,3.31,8.9,0.0005,487,430,0.1,3.12,0.295,5.2,0.002,6.628,102,0.024,2.1,0.077,268,329600,70.53,8.278,3.8,0.005,9,729,2330,0.39,31,3.3,10.4
187,429729,7630000,300,"FIN","NW",21,51,"PLAIN",0.057,21500,69000,14.77,1.16,1.533,1.5,36.3,0.21,0.101,0.001,2450,31800,4.45,0.033,0.008659,5.7,37.5,15,0.83,0.0005,32800,54600,7.81,0.03,510,6800,0.83,5.5,5.5,8.08,3360,13900,2.31,116,610,0.08,0.5,220,24100,3.26,12,0.001785,419,480,0.11,3.28,0.412,5.3,0.002,1.215,214,0.014,3.8,0.113,261,266300,56.98,10.171,9.5,0.014,4,1330,5510,0.92,66.9,3.3,27.5
188,509015,7770000,210,"NOR","FLAT",18,51,"RIDGE",0.006,14900,66900,14.32,0.39,0.733,1.5,20.6,0.15,0.009,0.001,1150,19600,2.75,0.018,0.002688,4.3,31.4,10,0.59,0.0005,15800,46000,6.58,0.03,380,11500,1.39,7,5.5,5.05,2240,15100,2.51,71.5,610,0.08,0.4,130,18300,2.48,13.7,0.0005,343,390,0.09,2.51,0.462,5.3,0.002,1.242,95,0.005,2.6,0.121,226,300600,64.33,7.025,5.2,0.008,3,533,3530,0.59,30.5,3.2,18.3
189,637900,7720000,170,"NOR","W",14,20,"LOWMO",0.019,15600,59600,12.76,1.13,0.359,1.5,17.4,0.19,0.019,0.001,1570,19900,2.79,0.03,0.003494,7.6,40.8,19.7,1.3,0.0005,37500,43400,6.21,0.03,100,9000,1.09,4.4,6.4,6.23,4640,10900,1.82,163,460,0.06,0.5,90,23500,3.18,14.2,0.00107,339,340,0.08,2.38,0.688,4.9,0.002,1.558,257,0.005,2.9,0.127,300,305300,65.34,60,7.6,0.012,4,2010,3530,0.59,67.1,3,33.9
190,467320,7840000,80,"NOR","NW",31,10,"SLOPE",0.057,26800,56000,11.99,1.62,0.387,1.5,31,0.46,0.077,0.001,450,5800,0.82,0.02,0.010605,4.9,20.8,9.1,1.16,0.0005,27000,26000,3.72,0.03,1540,16900,2.04,9,7.9,10.8,1890,2700,0.45,100,300,0.04,0.6,60,13800,1.87,8.3,0.002656,225,170,0.04,11.1,0.431,5,0.002,1.635,252,0.023,2.4,0.189,141,312800,66.93,8.243,4.2,0.004,9,1490,3350,0.56,20.8,6.5,24.7
191,733948,7650000,180,"RUS","S",18,20,"RIDGE",0.023,29100,67900,14.54,0.62,0.498,1.5,53.6,0.36,0.032,0.001,3220,24400,3.42,0.027,0.010957,7.1,80.1,9.3,1.07,0.0005,35700,48300,6.91,0.07,2180,10300,1.25,14.6,12.9,14.51,7010,13600,2.26,157,540,0.07,1.3,270,20100,2.72,25.1,0.004368,817,870,0.2,2.57,1.005,5,0.002,3.405,276,0.005,4.5,0.281,139,246600,52.78,13.457,11.5,0.007,7,1400,4010,0.67,63.9,6.3,32.7
192,627170,7690000,200,"RUS","W",23,52,"RIDGE",0.036,20600,66700,14.28,0.71,0.551,1.5,17.4,0.3,0.018,0.001,1770,23200,3.26,0.047,0.006079,2.9,21.9,5.1,0.92,0.0005,16100,32900,4.71,0.07,250,8300,1,11.9,2.2,10.55,1270,8900,1.48,60.8,460,0.06,0.3,170,22700,3.07,6.9,0.00547,543,560,0.13,3.04,0.965,5.4,0.002,1.393,275,0.005,2.8,0.22,149,279000,59.7,15.087,7,0.006,3,514,2690,0.45,25.5,6.7,10.1
193,790155,7530000,250,"RUS","NW",25,82,"HIMO",0.035,63600,73000,15.62,1.72,0.336,1.5,46.1,1.56,0.02,0.001,2010,9700,1.36,0.085,0.010451,1.2,14.1,7.7,1.25,0.001026,12300,24100,3.45,0.12,610,21000,2.54,47.6,2.3,41.67,730,3300,0.56,140,690,0.09,0.4,840,16200,2.19,4.2,0.005734,1490,1520,0.35,3.66,2.032,5.1,0.002,4.41,777,0.017,1,0.623,254,145400,31.12,11.031,190,0.008,8,605,3470,0.58,15.5,8.1,20.6
196,543382,7590000,175,"FIN","NW",15,31,"PLAIN",0.021,18900,74100,15.86,0.7,1.368,1.5,26.5,0.13,0.023,0.001,200,4800,0.68,0.018,0.004089,6,27.5,20.4,0.9,0.001242,30400,60500,8.66,0.03,550,18200,2.2,18.5,4.9,7.53,2270,13400,2.23,44.6,460,0.06,1.2,40,5100,0.69,19.9,0.0005,185,260,0.06,5.23,0.496,5,0.002,1.303,228,0.013,2.7,0.131,192,281600,60.25,11.188,1.9,0.036,13,660,4790,0.8,38.9,3.2,30.5
197,585600,7730000,85,"NOR","FLAT",46,20,"PLAIN",0.003,7920,67600,14.47,0.21,0.228,1.5,27.6,0.28,0.031,0.001,2050,14000,1.96,0.021,0.001,4.3,12.4,7.5,0.38,0.0005,11400,16500,2.37,0.03,880,25200,3.04,20,13.1,2.21,3840,5500,0.92,146,300,0.04,0.4,70,29900,4.04,7.8,0.0005,360,300,0.07,2.99,0.546,5.5,0.002,0.917,41,0.005,1.7,0.021,289,327200,70.01,5.676,12.6,0.0015,11,877,1670,0.28,19.6,3.1,19.1
198,372602,7400000,122,"FIN","W",25,7,"RIDGE",0.006,7840,65100,13.94,0.99,1.091,1.5,26.2,0.25,0.014,0.001,2500,16400,2.3,0.018,0.002728,3.6,24.5,3.2,0.74,0.0005,24600,24800,3.55,0.03,510,24300,2.93,13,6.5,2.63,2210,5400,0.91,90.3,300,0.04,0.5,100,28400,3.83,6,0.0005,942,740,0.17,2.33,0.678,5.6,0.002,1.766,58,0.015,1.8,0.037,251,323900,69.31,13.379,8.9,0.0015,8,1200,2750,0.46,44.3,5.5,12.9
199,755941,7600000,190,"RUS","E",10,20,"RIDGE",0.011,9780,65600,14.04,0.17,0.59,1.5,14.1,0.11,0.015,0.001,1090,25900,3.63,0.025,0.002272,3.7,16,6.4,0.84,0.0005,9420,25200,3.61,0.03,380,8300,1.01,7,4.2,3.34,1580,8500,1.42,47.8,460,0.06,0.1,160,26000,3.51,11.5,0.0005,198,210,0.05,1.47,0.573,5.1,0.002,0.976,134,0.005,1.3,0.062,225,321700,68.84,30.147,5.1,0.009,4,464,1730,0.29,20.6,1.6,9
200,735487,7500000,180,"RUS","NE",25,1,"RIDGE",0.036,13300,63600,13.62,0.61,0.507,1.5,21,0.29,0.037,0.001,1300,22300,3.13,0.023,0.005639,5.7,24,14.3,0.94,0.0005,19900,33600,4.81,0.03,410,12000,1.45,13.8,13.5,5.78,2130,8300,1.38,69.2,380,0.05,1,110,23500,3.17,16.2,0.018709,194,210,0.05,2.99,0.842,5.6,0.002,1.884,130,0.005,1.5,0.095,198,308900,66.09,21.294,5.3,0.015,4,1050,2570,0.43,39.2,3.3,21.6
201,701808,7710000,140,"RUS","FLAT",22,21,"DEEPVAL",0.006,10400,63700,13.64,1.86,0.443,1.5,15.2,0.2,0.071,0.001,560,11200,1.58,0.015,0.003166,2.6,23,5.6,0.58,0.0005,12200,17700,2.54,0.03,640,18700,2.26,11.4,8.6,4.06,2110,3900,0.66,47.1,230,0.03,0.4,80,24700,3.33,7.8,0.003611,212,260,0.06,3.57,0.52,5.2,0.002,0.926,102,0.005,1.6,0.204,181,332700,71.2,12.527,2.4,0.011,8,559,1490,0.25,25.4,1.9,13.5
202,817032,7640000,250,"RUS","FLAT",30,4,"PLAIN",0.044,29700,72200,15.46,1.07,0.571,1.5,45.2,0.56,0.034,0.001,910,17300,2.43,0.021,0.002261,6.8,41.2,13.9,0.71,0.0005,29700,32800,4.7,0.03,1550,11500,1.39,14.2,20.6,10.21,3730,6900,1.16,113,300,0.04,0.8,110,25200,3.4,22.5,0.005446,420,430,0.1,3.83,0.58,5.3,0.002,1.195,205,0.005,2.8,0.257,122,283000,60.55,11.745,6.7,0.009,9,1020,2150,0.36,41.6,3.6,44.4
203,634126,7710000,100,"RUS","S",22,52,"SLOPE",0.042,31700,67500,14.46,1.21,37.552,1.5,41.1,0.41,0.02,0.001,3060,19900,2.79,0.028,0.005391,18.9,54.5,27.2,1.04,0.001625,57500,60800,8.7,0.03,890,10200,1.24,8.1,26,9.88,15300,19200,3.2,395,610,0.08,0.8,240,22200,3,30.9,0.0005,451,560,0.13,2.45,1.094,5.3,0.002,2.118,234,0.005,7.8,0.195,154,258600,55.34,32.685,13.7,0.014,8,2350,4610,0.77,101,5.3,80.4
204,507247,7610000,210,"FIN","W",12,31,"PLAIN",0.015,27900,67500,14.46,1.58,0.681,1.5,44.4,0.58,0.034,0.001,350,8100,1.14,0.022,0.006286,4.9,35,8.5,0.94,0.0005,33900,60300,8.63,0.03,710,16300,1.97,16.2,7.2,8.15,2250,11200,1.87,86.1,540,0.07,0.7,60,11200,1.52,18.9,0.001648,278,340,0.08,6.2,0.871,5,0.002,1.874,212,0.014,2.6,0.218,183,287200,61.45,12.334,3.5,0.025,12,1080,5090,0.85,59.6,3,39.5
205,417034,7480000,193,"FIN","SW",13,7,"FLAT",0.009,18600,60600,12.98,2.06,1.335,1.5,26.4,0.37,0.029,0.001,1430,18200,2.55,0.03,0.004194,7.7,58.6,9,0.63,0.0005,20800,32300,4.63,0.03,330,14300,1.73,12.6,7.7,4.54,3340,10300,1.71,120,380,0.05,0.4,130,23400,3.16,20.8,0.001011,627,560,0.13,2.98,0.695,5.5,0.002,1.436,90,0.033,3.5,0.086,332,318600,68.17,12.157,6.1,0.009,7,1080,3710,0.62,46.3,3.4,21.9
206,540733,7520000,265,"FIN","FLAT",20,1,"FLAT",0.016,33200,69500,14.89,1.33,1.374,1.5,46.2,0.35,0.086,0.001,1080,15000,2.11,0.016,0.002685,10.9,126,21.9,0.68,0.0005,44400,53700,7.68,0.03,700,14500,1.75,10.4,14.2,7.32,7200,16500,2.75,146,380,0.05,0.7,120,19700,2.66,40.3,0.0005,261,300,0.07,5.22,1.144,5.3,0.002,2.694,195,0.033,5.5,0.142,171,282000,60.34,18.491,6.9,0.018,10,1780,5270,0.88,84.4,3.9,31.9
207,552579,7600000,195,"FIN","SE",22,31,"PLAIN",0.035,24700,75200,16.11,0.61,1.984,1.5,54.2,0.24,0.017,0.001,530,8700,1.22,0.028,0.002337,5.4,34.2,14.5,0.66,0.0005,26100,52300,7.48,0.03,1090,17600,2.12,21.6,5.7,6.38,3900,13000,2.17,64.6,460,0.06,0.6,100,8700,1.18,22.6,0.0005,219,300,0.07,4.53,0.974,5.5,0.002,1.803,206,0.005,4.1,0.191,178,287400,61.5,16.029,4.2,0.025,11,748,4430,0.74,45.6,4.8,39.9
208,392650,7760000,350,"NOR","FLAT",8,10,"FLAT",0.006,14000,56900,12.18,0.67,0.333,1.5,23.3,0.26,0.027,0.001,1720,15700,2.2,0.014,0.002636,4.8,26.4,5.2,0.46,0.0005,16200,22100,3.17,0.03,620,13100,1.59,10.1,8.8,4.6,2800,6100,1.02,86.7,230,0.03,0.3,140,24200,3.27,9.7,0.0005,312,260,0.06,2.09,0.804,5.5,0.002,1.124,85,0.005,2,0.101,192,328400,70.28,3.622,8.8,0.0015,7,777,2450,0.41,24.1,3.9,10.6
211,567073,7660000,160,"FIN","W",14,20,"PLAIN",0.022,30000,71500,15.31,0.72,1.476,1.5,82.3,0.44,0.03,0.001,2950,22700,3.18,0.035,0.0061,13.6,71.7,41.4,0.79,0.0005,35000,51500,7.37,0.03,1120,13100,1.58,19.7,19,7.24,8700,17200,2.86,203,610,0.08,0.5,340,18600,2.51,39.1,0.0005,428,480,0.11,4.95,1.593,5.7,0.002,2.931,143,0.005,5.9,0.132,137,273600,58.54,14.422,14.3,0.012,11,2010,4670,0.78,68,6.3,60.1
212,530080,7800000,220,"NOR","FLAT",23,10,"RIDGE",0.12,39600,80200,17.17,3.08,1.458,1.5,40.7,0.88,0.121,0.001,1410,5200,0.73,0.047,0.00441,16.4,73.3,24.4,0.85,0.0005,55400,58100,8.31,0.06,990,22800,2.75,33.3,39.3,10.64,10700,14400,2.4,362,460,0.06,0.3,110,13900,1.88,48,0.0018,521,430,0.1,12.5,1.825,5,0.002,0.526,346,0.064,5.6,0.447,141,257200,55.03,15.187,8,0.023,18,1110,5210,0.87,50,15.2,76.7
213,405450,7750000,460,"NOR","FLAT",15,51,"FLAT",0.007,14600,47200,10.1,1.1,0.785,1.5,26.8,0.35,0.055,0.001,410,6200,0.88,0.019,0.002507,6.9,50.6,10.7,0.83,0.0005,22100,26500,3.79,0.03,890,16100,1.95,9.6,17.1,8.11,5740,10100,1.69,133,230,0.03,0.4,60,14400,1.95,20.8,0.002578,191,210,0.05,3.64,0.847,5.1,0.002,2.727,135,0.03,2.2,0.121,168,330400,70.71,6.492,3.2,0.008,5,349,3530,0.59,30.5,3.4,20.9
214,590200,7670000,70,"RUS","SW",22,20,"PLAIN",0.022,24000,68300,14.62,0.85,0.9,1.5,26.5,0.3,0.077,0.001,1660,21500,3.01,0.029,0.008022,6.1,35.8,28.8,0.77,0.0005,25200,41900,6,0.03,430,10300,1.25,9,11.2,8.39,3300,10900,1.81,123,540,0.07,0.5,180,20500,2.77,18.4,0.001173,499,480,0.11,3.92,1.112,5.5,0.002,2.455,142,0.005,2.9,0.117,211,283000,60.56,14.791,6.3,0.009,7,1030,3170,0.53,43,2.7,34.3
216,438600,7690000,355,"NOR","FLAT",22,51,"LOWMO",0.052,20300,63300,13.56,0.58,6.823,1.5,17.2,0.3,0.03,0.001,2040,27600,3.87,0.029,0.006719,4.2,56,12.5,0.7,0.0005,26600,51300,7.34,0.03,440,10100,1.22,7.8,4.3,8.9,2870,14900,2.48,78.1,610,0.08,0.6,190,20600,2.79,14.9,0.002585,369,390,0.09,2.92,1.091,5.2,0.002,2.422,199,0.005,4.1,0.15,173,273100,58.43,7.49,10.8,0.005,5,1080,5090,0.85,65.4,5,14.7
217,525015,7380000,200,"FIN","NE",26,7,"PLAIN",0.006,37600,65700,14.06,0.83,0.981,1.5,12,0.75,0.028,0.001,660,11600,1.63,0.022,0.007147,2.6,38.3,6.8,0.5,0.0005,15400,20400,2.92,0.03,100,16800,2.03,14.2,4.1,7.78,850,4200,0.7,34,230,0.03,0.4,90,19100,2.58,5.8,0.001393,369,340,0.08,3.77,1.736,5.4,0.002,2.3,373,0.013,3,0.11,174,311100,66.56,6.194,2.5,0.0015,13,762,2450,0.41,37.6,4.2,3.7
218,513395,7710000,240,"FIN","NW",18,20,"PLAIN",0.013,19000,64800,13.87,0.44,1.529,1.5,22.2,0.2,0.0025,0.001,1410,16400,2.3,0.021,0.002378,2.7,22.5,4.8,0.59,0.0005,16800,43000,6.15,0.03,220,11500,1.39,11.9,2.6,7.29,1930,11100,1.85,60.2,540,0.07,0.4,260,13300,1.8,7.8,0.004822,292,340,0.08,2.14,0.577,5,0.002,2.263,171,0.005,2.6,0.176,177,300200,64.24,7.476,6.5,0.004,6,444,3230,0.54,30.6,3.6,9.6
219,598000,7430000,180,"RUS","FLAT",9,52,"PLAIN",0.02,15400,50400,10.8,1.04,0.379,1.5,29,0.23,0.039,0.001,1150,17400,2.44,0.032,0.001,8.1,87.9,14.1,0.41,0.0005,22000,32100,4.59,0.03,320,10200,1.24,5.8,8.1,4.15,4250,12300,2.05,109,380,0.05,0.3,100,18500,2.5,27.8,0.0005,438,390,0.09,1.97,0.674,5.5,0.002,1.897,82,0.011,2.6,0.062,263,330800,70.78,6.501,5.3,0.0015,4,966,3170,0.53,44.7,2.2,28.7
220,639150,7740000,110,"NOR","SW",15,20,"LOWMO",0.054,32100,65100,13.93,1.5,0.578,1.5,26.4,0.53,0.026,0.001,2360,19500,2.73,0.051,0.006014,7.9,61.2,24.4,1.51,0.0005,43000,46000,6.58,0.08,570,12100,1.46,9,12.2,14.85,5300,10700,1.79,157,460,0.06,0.5,200,20100,2.71,20.5,0.001177,352,390,0.09,5.1,0.895,5.2,0.002,2.371,375,0.005,4.7,0.503,200,254800,54.53,37.318,12.1,0.01,8,2060,3710,0.62,62.3,4,41.5
221,405250,7820000,100,"NOR","S",24,10,"SLOPE",0.146,17100,45800,9.82,2.12,0.628,1.5,20.1,0.22,0.064,0.002053,800,7700,1.09,0.025,0.006264,2.8,16.7,3,0.97,0.0005,23000,28600,4.1,0.08,810,14600,1.76,9.3,5.4,7.66,1310,2600,0.44,102,460,0.06,0.4,40,11600,1.57,4.5,0.00116,391,340,0.08,6.33,0.366,5,0.002,1.557,234,0.039,2.4,0.57,326,336200,71.93,12.441,12.6,0.008,10,1040,3770,0.63,17.9,7,15.6
222,461766,7550000,250,"FIN","NW",24,1,"FLAT",0.056,27100,63700,13.65,12.7,2.352,1.5,28,0.3,0.04,0.001,1730,22200,3.12,0.046,0.003307,11.1,69.7,29.8,0.72,0.0005,38100,54100,7.74,0.03,380,11500,1.39,6.6,9.5,8.07,6290,16600,2.76,250,690,0.09,0.8,130,19800,2.68,32.1,0.0005,487,480,0.11,2.7,0.594,5.1,0.002,1.762,159,0.086,4.5,0.173,251,278600,59.61,8.337,5.7,0.013,7,1560,5390,0.9,85.1,3.3,30.8
223,663863,7460000,310,"RUS","S",40,1,"RIDGE",0.009,13400,62200,13.32,0.93,0.63,1.5,47.4,0.18,0.027,0.001,1330,29000,4.07,0.018,0.001,18.1,75.5,15.6,0.5,0.0005,23000,41000,5.87,0.03,1060,7500,0.91,8.3,14.2,3.55,9260,33200,5.51,268,690,0.09,0.4,140,22800,3.08,118,0.003803,230,260,0.06,1.69,1.005,5.5,0.002,3.241,54,0.005,1.9,0.057,174,295700,63.28,4.137,6,0.0015,5,852,2570,0.43,29.4,1.8,22.8
226,514044,7660000,140,"FIN","W",22,20,"FLAT",0.024,35100,72400,15.49,0.73,1.215,1.5,61.4,0.55,0.016,0.001,820,10200,1.44,0.022,0.007586,5.4,42.4,9,0.84,0.0005,35600,56700,8.11,0.03,580,14500,1.75,17.2,6,8.91,3680,11800,1.97,98.4,540,0.07,0.5,130,11100,1.5,15.8,0.0005,729,690,0.16,6.16,0.996,5.1,0.002,2.618,286,0.013,3.7,0.216,248,278700,59.64,10.176,11.7,0.021,10,1020,3830,0.64,66.9,4.2,41.2
227,570100,7620000,250,"RUS","NW",29,31,"RIDGE",0.038,20500,68500,14.66,0.65,1.599,1.5,51.2,0.2,0.012,0.001,620,9000,1.26,0.032,0.004393,4.1,26.2,13.5,0.82,0.0005,17400,46900,6.72,0.03,1080,13700,1.66,19.3,3.8,13.94,3250,13000,2.16,58.9,460,0.06,0.2,80,8700,1.18,17.1,0.009627,289,390,0.09,4.49,0.735,5.1,0.002,2.602,199,0.005,3,0.277,201,265200,56.74,5.711,4.7,0.012,5,518,3890,0.65,31.8,4.2,24.4
228,452569,7400000,180,"FIN","FLAT",30,7,"FLAT",0.006,26700,69100,14.79,1.04,0.685,1.5,25.4,0.77,0.014,0.001,730,10500,1.48,0.028,0.003838,3.2,25.4,3.5,0.61,0.0005,20600,22100,3.17,0.03,270,24400,2.94,15,6.7,6.72,1610,3200,0.54,88.5,230,0.03,0.3,110,22900,3.09,7.3,0.001852,750,650,0.15,5.94,0.971,5.7,0.002,2.237,183,0.02,2.6,0.178,155,310000,66.34,6.634,4.2,0.005,14,895,2390,0.4,38.8,4.2,26.3
229,439975,7390000,115,"FIN","SW",21,7,"PLAIN",0.019,23400,74300,15.91,4.05,0.562,1.5,68.5,0.65,0.042,0.001,1950,18500,2.6,0.019,0.003703,7.7,41,10.6,0.95,0.0005,34300,34900,4.99,0.03,670,12700,1.53,14.8,13.9,11.61,4550,8000,1.34,138,380,0.05,0.6,170,21500,2.91,17.8,0.006452,778,520,0.12,5.1,1.326,5.1,0.002,2.49,161,0.036,3.6,0.191,211,274200,58.68,10.139,8.6,0.014,9,1200,2750,0.46,57.1,5,34
