"ID","XCOO","YCOO","ELEV","COUN","ASP","TOPC","LITO","Ac_228","As","Au","Ba","Bi_214","Br","Ca","Ce","Co","Cr","Cs","Cs_137","EC","Eu","Fe","Hf","Hg","K_40","La","LOI","Lu","Mo","Na","Nd","Ni","pH","Rb","Sb","Sc","Sm","Sr","Tb","Th","U","W","Yb","Zn"
129,488655,7570000,275,"FIN","N",36,1,9.6,1.1,0.005,520,6.8,5.9,10000,17,10,79,0.5,12.6,16.1,0.6,32700,5,0.5,250.2,8.6,22.4,0.26,3,18500,8,10,4.5,7.5,0.2,11,1.5,250,0.25,2.9,1.5,0.5,1.5,25
130,504348,7420000,240,"FIN","NE",25,51,8.7,0.25,0.001,480,5.5,1.6,5000,16,2,29,0.5,50.9,22.6,0.4,8000,6,0.5,323.2,9,12.7,0.14,0.5,16000,8,10,4.6,36,0.05,3.1,1.2,250,0.25,3.4,0.25,0.5,0.8,25
131,529138,7480000,180,"FIN","FLAT",49,51,6.2,1.7,0.001,330,4.8,2.8,10000,17,5,130,0.5,31,21,0.5,18200,6,0.5,223,7.8,14,0.2,0.5,17900,2.5,10,4.4,40,0.05,6,1.1,250,0.25,2.2,0.9,0.5,1,88
132,700216,7720000,110,"RUS","N",40,4,10.5,0.25,0.003,300,3.8,15,10000,27,2,25,0.5,53.8,21,0.6,10900,4,0.5,196,15,39.9,0.1,0.5,12700,12,10,4.6,32,0.05,4.8,1.6,250,0.25,4,0.25,0.5,0.8,25
136,737281,7530000,330,"RUS","N",47,1,3.5,4.2,0.001,350,4.8,5.9,20000,10,20,150,0.5,88.9,29.6,0.6,36300,3,2,162,5,37.5,0.22,0.5,12100,2.5,190,4.6,7.5,0.6,11,1,700,0.25,0.9,1.2,0.5,1.2,96
137,625743,7710000,80,"RUS","W",28,52,9.8,3,0.006,380,6.2,8.6,40000,18,14,72,0.5,27.8,20.6,0.7,41600,3,0.5,128.3,9.2,17.3,0.23,0.5,21700,10,10,4.6,52,0.3,14,1.5,250,0.25,2.4,1.3,0.5,1.4,25
138,716293,7660000,180,"RUS","E",50,20,5.8,1.2,0.001,330,1.3,9,5000,22,5,31,0.5,40.4,50.1,0.4,9200,3,0.5,117.8,10,57,0.15,0.5,13400,2.5,10,4.4,22,0.3,3.8,1.2,250,0.25,3.8,1.2,0.5,0.7,25
139,590363,7470000,290,"FIN","SW",46,1,13.9,0.25,0.001,370,9.1,1.9,5000,18,2,34,0.5,24.1,16.5,0.4,5900,4,0.5,440.5,9.1,10.2,0.13,0.5,16500,8,10,4.6,47,0.1,2.8,1.2,250,0.25,2.5,0.25,0.5,0.8,25
140,604000,7650000,220,"RUS","SE",30,31,13.8,1,0.001,460,3.2,3.5,20000,41,6,56,0.5,44.5,39.3,0.8,20700,7,0.5,149.2,21,24.5,0.29,0.5,12300,18,10,4.2,7.5,0.2,8.7,2.7,250,0.25,4.9,0.25,0.5,1.7,64
141,676703,7690000,260,"RUS","NW",45,21,12.7,1.1,0.001,330,5.2,13,10000,22,3,24,0.5,42.4,29.8,0.5,8700,5,0.5,205.3,12,68.3,0.14,0.5,10200,7,10,4.3,27,0.05,3.5,1.4,250,0.25,3.5,0.9,0.5,0.7,25
142,657619,7580000,300,"RUS","W",38,31,9.5,0.25,0.001,380,0.1,8.3,5000,16,5,44,0.5,61.9,27.3,0.4,16000,3,0.5,206.9,8.1,50.5,0.22,0.5,10000,7,10,4.6,26,0.05,6.3,1.3,250,0.25,1.7,0.25,0.5,1.1,128
143,827897,7570000,210,"RUS","FLAT",30,20,18.6,0.25,0.001,550,9.9,3,20000,31,4,38,0.5,34.7,26.6,0.7,20100,6,1,554.3,18,45.7,0.17,0.5,22700,14,10,4.4,7.5,0.2,4.7,1.8,250,0.25,3.3,1.6,0.5,1,67
144,861133,7490000,210,"RUS","FLAT",40,52,32.8,0.25,0.001,430,6.5,2.9,5000,150,4,62,0.5,30.7,20.2,1.3,18400,10,0.5,433.1,92,16.1,0.21,0.5,23900,49,10,4.6,74,0.2,4.4,4.2,250,0.25,9.5,0.25,0.5,1.5,52
145,563024,7670000,160,"FIN","E",42,20,8.9,1.6,0.001,610,9.4,2.9,30000,15,9,46,0.5,28.1,26.4,0.6,28700,6,0.5,337.5,7.4,22.9,0.21,3,19400,2.5,10,4.4,23,0.2,9.9,1.3,250,0.25,2.2,1.2,0.5,1.1,25
147,575169,7550000,345,"FIN","E",45,1,31.6,1.3,0.001,470,6.3,2.8,10000,44,15,170,0.5,50.3,13.2,0.9,66400,7,0.5,339,24,33.6,0.84,0.5,5000,18,10,4.9,31,0.2,25,3.9,250,0.5,4.6,0.25,0.5,5.4,135
148,563474,7620000,230,"FIN","N",50,31,40.3,1.7,0.001,580,8.8,3.9,5000,56,6,91,0.5,23.3,13.5,1,34300,7,0.5,481.7,34,7.7,0.52,0.5,6400,20,10,4.6,47,0.1,13,3.9,250,0.8,9,0.9,0.5,3.4,100
151,554128,7380000,220,"FIN","W",37,7,22.3,1.7,0.004,570,12.9,2.2,5000,29,5,72,0.5,33.3,19.2,0.8,20500,9,0.5,538.5,15,19,0.22,0.5,22700,11,10,4.5,58,0.05,7,1.9,250,0.25,6.6,1.5,0.5,1.6,25
152,824676,7450000,100,"RUS","SW",27,51,3.7,1,0.002,360,3.9,4.6,5000,16,4,76,0.5,50.3,31.9,0.4,11700,4,0.5,281,7.9,25.4,0.12,0.5,18400,7,10,4.2,30,0.05,4.1,0.9,250,0.25,1.3,0.25,0.5,0.8,25
154,718044,7690000,160,"RUS","SW",40,21,9.5,1.4,0.001,510,3.3,24,5000,15,2,12,1,58.8,43.4,0.5,8500,4,0.5,182.6,8.4,48,0.11,0.5,10000,6,10,4.2,46,0.05,2,0.9,250,0.25,2.7,0.25,0.5,0.5,62
155,581617,7500000,,,,,,7.7,0.25,0.001,390,6,2,5000,15,3,50,0.5,27.1,24.2,0.4,12400,6,0.5,272.7,8.5,26.8,0.16,0.5,19700,6,10,4.5,46,0.2,4.8,1.1,250,0.7,2.7,1.1,0.5,0.9,63
156,513495,7690000,240,"FIN","E",32,20,49.1,0.25,0.004,650,10.5,4.5,5000,57,6,71,0.5,25.4,13.2,1,31500,8,0.5,400.8,33,12.1,0.36,2,11000,23,10,4.6,33,0.05,11,3.6,250,0.25,10,1,0.5,2.4,74
158,602760,7720000,150,"NOR","FLAT",31,20,17.4,0.25,0.001,350,8.3,10,5000,15,4,34,0.5,46.9,25.1,0.4,20500,7,0.5,422.8,7.4,28.2,0.19,0.5,16500,7,10,4.4,66,0.1,5,1.1,250,0.25,3.1,0.25,0.5,1.1,25
159,722036,7710000,50,"RUS","FLAT",61,4,10.1,0.25,0.001,750,4.7,36,5000,29,2,14,0.5,29.9,29.3,0.6,11500,3,0.5,321.1,16,46.2,0.08,0.5,20400,10,10,4.4,51,0.2,2.7,1.6,250,0.25,4,0.25,0.5,0.6,25
160,533286,7390000,240,"FIN","SE",48,7,18.2,0.9,0.001,460,7.2,1.7,5000,25,2,43,0.5,37.7,19.4,0.4,10900,4,0.5,417.2,14,12.1,0.11,0.5,12700,11,10,4.5,48,0.2,2.1,1.3,250,0.25,5.5,0.6,0.5,0.6,25
162,588050,7720000,90,"NOR","FLAT",59,20,18.5,0.25,0.001,610,21.2,7,20000,14,4,31,0.5,43.4,19.9,0.4,16600,4,0.5,390.7,8.1,20.7,0.12,2,17400,6,10,4.4,85,0.2,4.5,1,250,0.25,4.7,1.2,0.5,0.6,25
163,797345,7540000,300,"RUS","E",30,82,56.3,2.3,0.001,480,29.5,15,5000,150,2,11,2,134.5,19.1,1.7,24300,15,0.5,651.4,87,50.6,0.48,0.5,22600,41,10,4.9,99,0.3,1.5,5,250,0.25,12,2.3,0.5,2.8,25
166,507797,7750000,340,"FIN","E",56,20,9.3,0.25,0.001,370,6.1,5.3,5000,18,4,45,0.5,47.9,22.7,0.7,16500,5,0.5,205.6,9.9,21.1,0.35,2,21100,7,10,4.4,30,0.05,6.9,1.6,250,0.25,2.4,0.25,0.5,2.3,25
167,676097,7540000,190,"RUS","SE",40,1,4.3,0.25,0.001,220,0.1,6.6,10000,6,3,19,0.5,38.2,30.2,0.3,5100,2,0.5,198.5,3.6,54.6,0.05,0.5,10100,7,10,4.5,34,0.2,2,0.5,250,0.25,1.2,0.25,0.5,0.3,61
168,457473,7790000,280,"NOR","W",25,10,10.5,0.25,0.001,190,4.8,16,5000,17,3,35,0.5,79,27.5,0.4,11600,4,0.5,181.5,8.9,26.2,0.18,0.5,4400,8,72,4.4,26,0.05,4.4,1.3,250,0.25,2.3,0.25,0.5,1.3,25
170,742234,7590000,190,"RUS","NE",45,20,4.9,1.2,0.001,440,3.1,4.5,20000,18,10,65,0.5,45,18.5,0.6,20600,6,0.5,174.4,9.3,20.6,0.16,0.5,20700,9,83,4.3,31,0.1,7.7,1.6,250,0.25,2.4,0.25,0.5,1,99
171,658001,7680000,200,"RUS","E",40,52,12.9,1.2,0.001,360,3.1,4.2,10000,32,5,32,0.5,73.3,30.6,0.7,18300,7,0.5,149.3,17,25.7,0.21,0.5,15300,15,10,4.4,21,0.2,6.2,1.8,250,0.25,4.7,0.25,0.5,1.4,25
172,677085,7410000,80,"RUS","NE",20,1,5.5,0.25,0.001,470,3.5,3.9,10000,24,7,120,0.5,48.6,29.6,0.7,16400,5,0.5,229.3,12,37.3,0.15,0.5,18100,13,10,4.4,40,0.2,7.1,1.7,250,0.25,2.1,0.25,0.5,0.8,25
174,779510,7490000,160,"RUS","FLAT",52,1,3.6,1.2,0.001,480,3.6,3.7,10000,14,4,75,0.5,41.8,32.9,0.5,12600,5,0.5,270.6,7.7,18.3,0.14,0.5,20000,8,10,4.4,36,0.2,4,1.1,250,0.25,1.2,0.25,0.5,0.7,25
175,389000,7630000,450,"NOR","W",63,1,15.9,0.25,0.001,530,7.3,3,5000,20,3,20,0.5,28.2,22.3,0.4,12000,4,0.5,343.2,9.9,26.9,0.07,0.5,27800,7,10,4.4,33,0.2,3.3,1,250,0.25,3.7,1,0.5,0.4,74
176,582616,7400000,295,"FIN","FLAT",57,51,9.4,0.25,0.006,390,4.7,0.25,5000,12,2,57,0.5,37,31.1,0.3,9200,4,0.5,239.2,9.5,42.8,0.15,0.5,17200,2.5,10,4.2,7.5,0.4,3,1.2,250,0.25,3.2,0.25,0.5,0.6,25
178,610115,7730000,85,"NOR","N",55,20,16.6,0.25,0.001,380,6.8,5.2,20000,10,4,20,0.5,63.2,25.9,0.4,13600,5,0.5,436.6,3.9,28.4,0.14,0.5,16300,2.5,10,4.4,67,0.05,4.4,0.6,250,0.25,2.2,2.7,0.5,0.9,25
181,583716,7540000,260,"FIN","NW",55,1,11.5,0.25,0.001,490,3.8,0.25,5000,11,4,36,0.5,53,27.6,0.4,8700,6,0.5,269.4,5.9,39.8,0.11,0.5,18800,19,10,4.2,7.5,0.3,3.5,1,250,0.25,2.6,0.25,0.5,0.8,25
183,381498,7550000,197,"FIN","FLAT",40,1,18.6,0.25,0.001,600,13,0.25,5000,24,7,44,0.5,26,16.7,0.8,31400,6,0.5,550.1,12,10.2,0.24,0.5,18700,16,10,4.5,57,0.05,8.7,1.9,250,0.25,4.4,0.25,0.5,1.4,25
184,769055,7520000,340,"RUS","S",20,82,26.3,6.8,0.007,740,21,6.9,5000,57,5,81,2,118.7,30.8,1.2,33100,10,0.5,593.6,24,26.4,0.32,0.5,16400,20,10,4.4,67,0.6,5.9,3.3,250,0.25,5.3,2,0.5,1.9,98
185,614000,7640000,190,"RUS","FLAT",42,31,26.1,0.25,0.001,580,4.9,6,5000,55,8,78,0.5,37.8,21.4,1.4,37800,9,0.5,290.7,32,33.9,0.41,0.5,15600,24,10,4.5,7.5,0.05,13,4.1,250,0.25,7.6,0.25,0.5,2.9,99
186,452370,7440000,210,"FIN","NE",40,7,11.9,0.25,0.001,630,7.7,2.9,5000,16,3,20,0.5,26.6,23.5,0.1,9000,4,0.5,465.1,8.2,14.2,0.1,0.5,16600,2.5,10,4.3,7.5,0.2,2.9,1,250,0.25,4,0.25,0.5,0.6,88
187,429729,7630000,300,"FIN","NW",40,51,2.8,2.5,0.001,360,4.5,5.1,20000,8,8,56,0.5,19.6,19.5,0.3,22100,4,0.5,130.5,4.7,18,0.13,7,23000,2.5,10,4.4,38,0.05,8.1,0.9,250,0.25,1.8,0.25,0.5,0.8,25
188,509015,7770000,210,"NOR","FLAT",30,51,23,0.25,0.006,430,6.1,5.1,10000,33,11,110,0.5,21.5,13.7,0.6,44100,6,0.5,356.2,18,12.1,0.47,0.5,15800,12,10,4.7,7.5,0.05,16,2.9,250,0.25,4.6,0.25,4,3.1,25
189,637900,7720000,170,"NOR","W",43,20,11.1,2.5,0.001,290,3.8,4.1,5000,20,5,52,0.5,54.5,24.3,0.5,14400,6,0.5,207.7,10,12.9,0.17,0.5,20200,10,10,4.5,7.5,0.05,6.6,1.4,250,0.25,2.3,0.25,0.5,1.1,86
191,733948,7650000,180,"RUS","S",32,20,9.5,0.25,0.001,390,5.8,5.6,20000,15,4,50,0.5,18.5,21.9,0.7,13800,7,0.5,256.6,8.7,31.6,0.12,0.5,21300,2.5,10,4.5,7.5,0.05,3.7,1.2,250,0.25,2.3,0.25,0.5,0.7,25
192,627170,7690000,200,"RUS","W",43,52,11.7,0.25,0.001,330,3.4,4.8,20000,26,6,43,0.5,56.7,30.8,0.7,17200,7,0.5,169.6,14,24.2,0.27,0.5,16200,13,10,4.5,7.5,0.05,7.2,1.9,250,0.25,4,0.25,0.5,1.8,25
193,790155,7530000,250,"RUS","NW",45,82,23.6,0.25,0.001,670,8.2,11,5000,67,4,15,0.5,98.1,42.9,1.4,17000,5,0.5,634.4,37,61.9,0.13,11,12600,33,10,4.4,81,0.8,2.1,3.3,250,0.25,2.8,2.8,0.5,1,25
196,543382,7590000,175,"FIN","NW",32,31,39.8,0.25,0.001,590,6.9,4.8,20000,52,8,100,0.5,42.5,15.2,1,42000,6,0.5,369.7,30,32,0.56,0.5,3900,20,10,4.8,61,0.05,14,4.1,250,0.25,9.9,1.7,0.5,3.5,108
197,585600,7730000,85,"NOR","FLAT",123,20,7.2,0.25,0.001,890,7.3,2,5000,8,2,15,1,27.1,10,0.3,9800,3,0.5,913.7,4.1,6.47,0.06,0.5,22100,2.5,10,4.7,120,0.05,2.8,0.4,250,0.25,1.4,1.6,0.5,0.4,25
198,372602,7400000,122,"FIN","W",48,7,16.9,2.3,0.001,730,12.3,0.25,5000,27,3,29,0.5,37.1,11.8,0.9,12000,9,0.5,852.8,13,5.69,0.21,0.5,26600,2.5,10,4.8,84,0.05,5.1,2,250,0.25,4.4,0.25,0.5,1.1,25
199,755941,7600000,190,"RUS","E",25,20,6.6,0.25,0.001,250,2.3,6.8,20000,15,6,57,0.5,30.2,21.5,0.5,16800,3,0.5,193.8,7.9,11.8,0.13,9,21400,7,10,4.5,7.5,0.05,6,1.2,250,0.25,2.6,0.25,0.5,0.8,25
200,735487,7500000,180,"RUS","NE",40,1,2.8,0.25,0.001,310,4.7,2.3,10000,6,6,47,0.5,26.6,17.1,0.4,14200,4,0.5,262.5,4,16.7,0.1,0.5,20500,2.5,10,4.7,37,0.05,4.9,0.7,250,0.25,0.8,0.25,0.5,0.7,25
201,701808,7710000,140,"RUS","FLAT",39,21,18.5,0.25,0.001,460,7.7,10,5000,31,3,30,0.5,33,11.1,0.6,11700,3,0.5,527.8,15,16.7,0.14,0.5,20100,12,10,4.9,85,0.05,4.5,1.5,250,0.25,4.8,0.25,0.5,0.8,25
202,817032,7640000,250,"RUS","FLAT",50,4,15.6,0.25,0.001,300,6.7,9.3,5000,16,3,28,0.5,42.8,33.2,0.4,9200,3,0.5,308.2,7.9,34.8,0.06,0.5,17000,7,10,4.3,7.5,0.05,3.2,1,250,0.25,2.6,0.25,0.5,0.5,25
203,634126,7710000,100,"RUS","S",48,52,8.5,3.2,0.001,560,7.4,3.3,5000,34,9,53,1,36.4,14.1,1.1,34300,6,0.5,235.9,17,10,0.3,3,30400,17,10,4.9,52,0.3,17,2.6,250,0.25,3.5,2.1,0.5,1.9,25
204,507247,7610000,210,"FIN","W",32,31,55.6,0.25,0.001,520,11.4,2.8,10000,70,7,81,0.5,31.8,14.6,1.1,37400,8,0.5,537.8,41,8.54,0.47,3,8500,27,10,4.6,47,0.05,12,4.5,250,0.7,14,1.3,0.5,3,96
206,540733,7520000,265,"FIN","FLAT",42,1,11.6,2.1,0.004,380,7.7,4.2,5000,16,5,71,0.5,49.3,33,0.4,19600,5,0.5,353.9,8,26.2,0.17,7,13900,10,10,4.2,39,0.3,5.6,1,250,0.25,2.9,0.25,0.5,0.7,103
207,552579,7600000,195,"FIN","SE",37,31,34.6,0.25,0.006,640,8.2,5,10000,65,8,95,0.5,16.2,12.8,1.3,41700,7,0.5,389.9,37,9.17,0.51,4,6700,27,10,4.7,49,0.05,14,4.2,250,0.8,9.8,1.4,0.5,3.4,25
208,392650,7760000,350,"NOR","FLAT",25,10,4.4,0.25,0.001,270,2.2,14,5000,10,2,21,0.5,33.3,31.3,0.3,8200,5,0.5,175.3,4.7,37.8,0.11,0.5,16000,2.5,10,4.4,27,0.2,3.1,0.7,250,0.25,1.3,0.9,0.5,0.6,25
211,567073,7660000,160,"FIN","W",37,20,23.1,0.25,0.006,510,5.5,6.5,20000,61,8,76,0.5,40.8,27.6,1.2,35900,9,0.5,248.1,31,25.3,0.33,2,15400,21,10,4.5,44,0.05,10,3.6,250,0.25,8.9,0.25,0.5,2,115
212,530080,7800000,220,"NOR","FLAT",33,10,37.1,3.4,0.001,600,21.2,14,5000,49,7,89,2,48.4,25.1,0.9,38300,7,0.5,639.1,26,34,0.45,5,10900,19,10,4.4,120,0.4,12,3.3,250,0.25,10,2.3,0.5,2.7,96
213,405450,7750000,460,"NOR","FLAT",58,51,14.9,1.5,0.001,210,8.7,4.4,5000,23,6,62,1,24.5,17.1,0.5,23000,5,0.5,340.3,14,10.4,0.2,0.5,10200,10,10,4.6,50,0.3,6.2,1.6,250,0.25,3.6,1.4,0.5,1.3,25
214,590200,7670000,70,"RUS","SW",32,20,17,0.25,0.001,350,7.4,6.8,5000,23,6,42,0.5,39.8,35.1,0.5,21900,4,0.5,258.4,12,42.3,0.14,0.5,13200,13,10,4.3,25,0.05,6.2,1.5,250,0.6,3.4,0.25,0.5,0.9,55
216,438600,7690000,355,"NOR","FLAT",35,51,4,0.25,0.001,260,4.6,6,5000,9,7,58,0.5,40.9,39.7,0.4,18300,4,0.5,163.4,4.1,25.6,0.16,0.5,13600,9,10,4.2,28,0.05,6.7,1,250,0.25,1.2,0.25,0.5,1,76
217,525015,7380000,200,"FIN","NE",38,7,10.4,0.25,0.001,470,5.2,1.9,5000,11,2,17,0.5,37.8,24.4,0.3,4600,3,0.5,467.4,6.9,15.5,0.08,0.5,11000,9,10,4.3,57,0.1,1.6,0.7,250,0.25,3.5,0.25,0.5,0.5,25
218,513395,7710000,240,"FIN","NW",34,20,13.5,2,0.001,390,2.9,11,5000,38,6,56,0.5,31.6,17.9,0.8,26100,5,0.5,185.3,21,23,0.34,1,8700,13,10,4.6,7.5,0.05,9.4,2.5,250,0.25,5.2,1,2,2.1,25
219,598000,7430000,180,"RUS","FLAT",20,52,9.2,0.25,0.001,340,6.3,2.5,20000,18,11,140,0.5,18.6,17.8,0.6,27400,4,0.5,243.3,9.1,12.5,0.2,0.5,17300,2.5,10,4.6,34,0.05,9,1.5,250,0.25,2.1,0.25,0.5,1.2,25
220,639150,7740000,110,"NOR","SW",45,20,5.6,0.25,0.001,170,0.1,41,5000,14,4,17,0.5,82.2,51.3,0.4,12400,2,0.5,134.2,5.8,70.9,0.025,0.5,6900,2.5,10,4.1,26,0.3,2.7,0.8,250,0.25,1.5,0.25,0.5,0.3,102
221,405250,7820000,100,"NOR","S",40,10,3.5,1,0.001,100,3.6,31,5000,3,2,6,0.5,95.8,69.3,0.2,4200,4,0.5,144.8,1.4,68.6,0.12,0.5,5000,2.5,10,4.2,23,0.05,1.5,0.3,250,0.25,0.7,0.25,0.5,0.6,75
222,461766,7550000,250,"FIN","NW",42,1,7.1,2.9,0.001,420,5.7,0.25,20000,14,8,73,0.5,30.8,26.1,0.5,23400,6,0.5,279.8,6.8,14.6,0.22,0.5,19300,2.5,10,4.6,31,0.4,9.4,1.2,250,0.25,2.7,0.25,0.5,1.2,79
223,663863,7460000,310,"RUS","S",60,1,6.3,0.25,0.001,320,2.2,3.8,30000,14,5,97,0.5,59.6,27.3,0.6,10000,5,0.5,219.5,7.4,29.1,0.11,0.5,23400,7,10,4.8,7.5,0.3,4.4,1.1,250,0.25,1.3,0.7,0.5,0.6,25
226,514044,7660000,140,"FIN","W",41,20,43.8,0.25,0.001,640,10.1,4.5,5000,76,4,69,0.5,37.8,24.6,1.1,31700,9,0.5,278.4,42,26.5,0.46,0.5,7700,35,10,4.3,34,0.05,12,4.6,250,0.25,13,1.3,0.5,3,98
227,570100,7620000,250,"RUS","NW",37,31,37.5,0.25,0.006,770,9,8.6,10000,64,6,82,0.5,28.1,17,1.2,27200,7,0.5,474.2,37,22.8,0.36,6,7400,22,10,4.7,42,0.05,11,4,250,0.25,8,0.25,0.5,2.3,25
228,452569,7400000,180,"FIN","FLAT",48,7,16.5,0.25,0.001,830,7.6,0.25,5000,18,1,18,0.5,10.2,14.4,0.4,10100,10,0.5,649.3,11,7.23,0.12,0.5,15500,6,10,4.5,88,0.05,1.6,0.9,250,0.25,5,1.4,0.5,0.7,25
229,439975,7390000,115,"FIN","SW",36,7,22.7,1.5,0.001,620,15.3,2.5,10000,24,3,33,0.5,27.4,36.7,0.6,14000,9,0.5,732.4,14,18.3,0.2,0.5,18500,12,10,4.2,73,0.3,4.5,1.6,250,0.25,5.2,1.1,0.5,1,25
230,679990,7530000,220,"RUS","SW",40,1,3.8,0.25,0.001,330,4.7,1.3,10000,5,3,41,0.5,41.5,22.1,0.3,7400,5,0.5,402.2,2.7,12,0.07,0.5,19000,2.5,10,4.7,46,0.05,2.4,0.5,250,0.25,1.1,0.25,0.5,0.6,25
231,706353,7650000,200,"RUS","NW",48,21,7.6,0.25,0.001,410,2,4.9,30000,15,7,52,0.5,43.2,24.8,0.7,18600,8,0.5,267.2,6.6,27.1,0.2,0.5,24400,9,10,4.6,18,0.05,6.2,1.5,250,0.25,1.5,0.25,0.5,1.2,95
232,622775,7690000,180,"RUS","FLAT",25,21,15.8,0.25,0.001,520,7.1,4.5,20000,33,6,56,0.5,20.9,14.3,0.9,27400,8,0.5,236.9,17,6.17,0.31,0.5,21100,14,10,4.8,24,0.05,9.2,2.4,700,0.25,4,0.25,0.5,2,51
233,733318,7440000,100,"RUS","SW",60,1,4.7,0.25,0.001,230,3.4,4.7,20000,9,4,89,0.5,53.5,23.3,0.5,10700,3,0.5,145.2,5.1,22.6,0.14,0.5,18700,5,10,5,24,0.05,5.3,0.8,250,0.25,1.3,0.25,0.5,0.8,53
234,695359,7460000,170,"RUS","NW",40,1,3.7,0.25,0.002,160,3.9,3.4,20000,7,6,140,0.5,24.6,21.4,0.4,13700,4,0.5,170.5,4.1,18.4,0.11,0.5,22500,2.5,10,4.4,7.5,0.1,4.6,0.6,250,0.25,1.2,0.25,0.5,0.5,25
235,494700,7790000,260,"NOR","SW",42,10,14.1,0.25,0.01,440,4.4,8.5,20000,37,5,57,0.5,30.8,15.7,0.9,30100,6,0.5,214.8,21,14,0.34,0.5,13200,17,10,4.6,30,0.05,11,2.4,250,0.25,4.9,0.9,0.5,2.4,59
236,423789,7860000,42,"NOR","SE",80,10,0.4,0.25,0.001,25,0.1,110,5000,1.5,1,2.5,0.5,72.5,50.7,0.1,1300,0.5,0.5,10.1,1.2,98.3,0.025,0.5,800,2.5,10,4.4,7.5,0.2,0.4,0.2,250,0.25,0.1,0.25,0.5,0.1,81
237,844527,7610000,170,"RUS","N",50,20,10.7,0.25,0.001,380,5.7,2.9,20000,19,1,18,0.5,50.7,27.5,0.5,7300,6,0.5,244.3,10,10.6,0.1,0.5,24800,8,10,4.5,32,0.05,3.7,1.1,250,0.25,2.3,1.2,0.5,0.6,25
238,583516,7520000,255,"FIN","FLAT",52,1,8.3,1.6,0.001,500,4.4,3.8,5000,10,3,30,0.5,39,33.4,0.2,7200,4,0.5,303.6,5.1,23.5,0.1,0.5,21000,5,10,4.2,34,0.2,2.8,0.7,250,0.25,2.2,0.9,0.5,0.5,25
241,418400,7660000,450,"NOR","S",38,51,7,0.25,0.001,310,7.7,4.5,20000,11,11,120,0.5,26.5,16.7,0.6,32100,4,0.5,238.9,5.3,12.5,0.23,5,20800,5,10,4.6,33,0.3,12,1.2,250,0.25,1.5,0.25,0.5,1.4,81
242,512429,7780000,,,,,,12.2,0.25,0.001,580,6.9,2.2,5000,19,3,24,0.5,12.5,9.2,0.6,12800,3,0.5,463.1,11,5.94,0.21,0.5,17400,8,10,4.7,43,0.05,5,1.3,250,0.25,2.7,0.9,0.5,1.3,25
243,579570,7800000,220,"NOR",,23,9,25.9,3.1,0.001,320,9.9,5.4,5000,58,9,60,3,20.1,20.9,0.8,34700,6,0.5,412.7,33,16.1,0.4,0.5,9800,24,120,4.4,86,0.4,10,3.1,250,0.25,8.4,1.5,0.5,2.6,54
244,563624,7580000,230,"FIN","SW",41,31,34.2,0.25,0.005,610,6.5,3.6,5000,52,8,100,0.5,23.9,19.7,1.1,41500,6,0.5,382.8,32,11.1,0.46,0.5,4800,15,10,4.4,52,0.2,13,3.8,250,0.6,8.1,0.25,0.5,3.1,92
245,561075,7520000,300,"FIN","NW",44,1,16.1,0.25,0.001,600,12.1,3.2,5000,14,4,44,0.5,46.9,27.6,0.4,12300,5,0.5,553.1,7.3,20.9,0.17,0.5,14800,6,10,4.3,50,0.2,3.6,1,250,0.25,3,1.2,0.5,1.1,25
246,796397,7550000,260,"RUS","W",33,20,22,3.8,0.001,760,17.4,5.1,5000,54,6,56,2,44.2,15.6,1,27100,6,0.5,630.4,26,20,0.19,0.5,22300,22,10,4.7,56,0.05,4,2.9,600,0.25,4.6,0.25,0.5,0.8,25
247,695643,7700000,190,"RUS","NE",,21,16.3,0.25,0.001,450,8.2,13,5000,37,3,37,0.5,23.6,15.5,0.8,14600,5,0.5,318.6,20,27.9,0.2,0.5,17300,17,10,4.7,70,0.05,5.3,2.2,250,0.25,6.1,0.25,0.5,1,25
248,411950,7830000,70,"NOR","W",39,10,14.9,0.25,0.002,450,11.1,24,5000,27,2,24,0.5,44.3,34.8,0.5,7500,14,0.5,155.3,10,34.4,0.46,0.5,14200,12,10,4.5,38,0.05,4.9,2,250,0.25,4.7,2.5,0.5,2.7,25
249,445372,7510000,245,"FIN","SW",45,51,7.6,5.5,0.003,460,5.8,0.25,5000,13,4,66,0.5,27.7,25.5,0.6,18200,4,0.5,353.4,8.1,18.7,0.17,0.5,14700,2.5,10,4.4,32,0.5,7.1,1.2,250,0.25,2.6,1.8,0.5,1.1,88
250,800872,7690000,140,"RUS","E",25,4,8.4,0.25,0.005,420,3.5,22,5000,17,4,22,0.5,81,30.1,0.4,8900,4,0.5,172,9.2,46.6,0.11,0.5,15600,2.5,10,4.4,7.5,0.05,3,1.1,250,0.25,1.8,0.25,0.5,0.6,112
251,787972,7430000,40,"RUS","FLAT",25,32,3.8,0.25,0.001,100,0.8,10,5000,15,9,160,0.5,70.2,44.8,0.1,15000,1,0.5,193.3,8.2,77.5,0.16,0.5,9300,2.5,10,4.4,7.5,0.05,5.7,1.5,250,0.25,0.1,0.25,0.5,1,25
252,789595,7670000,230,"RUS","E",45,4,6.5,0.25,0.001,400,1,22,5000,25,5,47,0.5,38,26.1,0.5,14400,2,0.5,149.1,11,43.9,0.12,0.5,19000,11,10,4.4,7.5,0.05,5.3,1.3,250,0.25,2.8,0.25,0.5,0.7,25
